,c,a,v
2021-11-04,421.83,421.83,785610
2021-11-03,419.57,419.57,722736
2021-11-02,417.21,417.21,594333
2021-11-01,416.8,416.8,476961
2021-10-29,415.06,415.06,513627
2021-10-28,413.55,413.55,566243
2021-10-27,412.01,412.01,689903
2021-10-26,417.19,417.19,692194
2021-10-25,420.78,420.78,848091
2021-10-22,409.15,409.15,544841
2021-10-21,411.58,411.58,803528
2021-10-20,413.45,413.45,620938
2021-10-19,414.08,414.08,739608
2021-10-18,410.53,410.53,534616
2021-10-15,409.93,409.93,662284
2021-10-14,408.1,408.1,948145
2021-10-13,405.14,405.14,680406
2021-10-12,404.4,404.4,653691
2021-10-11,404.36,404.36,812272
2021-10-08,410.0,410.0,1047177
2021-10-07,404.05,404.05,1106868
2021-10-06,392.95,392.95,1037231
2021-10-05,387.98,387.98,1137467
2021-10-04,379.88,379.88,1267761
2021-10-01,394.84,394.84,1116251
2021-09-30,405.61,405.61,914999
2021-09-29,411.61,411.61,749740
2021-09-28,410.2,410.2,1163040
2021-09-27,425.58,425.58,860114
2021-09-24,432.82,432.82,811949
2021-09-23,433.2,433.2,1050867
2021-09-22,434.59,434.59,1023602
2021-09-21,434.76,434.76,767519
2021-09-20,438.0,438.0,920361
2021-09-17,447.01,447.01,1750057
2021-09-16,449.92,449.92,697714
2021-09-15,449.88,449.88,1076340
2021-09-14,448.85,448.85,688461
2021-09-13,452.83,452.83,827053
2021-09-10,458.21,458.21,444236
2021-09-09,459.25,459.25,487969
2021-09-08,463.01,463.01,527354
2021-09-07,461.65,461.65,709943
2021-09-03,466.98,466.98,517929
2021-09-02,469.54,469.54,527392
2021-09-01,463.02,463.02,620860
2021-08-31,457.16,457.16,1189916
2021-08-30,457.0,457.0,1228465
2021-08-27,464.58,464.58,839764
2021-08-26,470.86,470.86,729792
2021-08-25,487.47,487.47,480976
2021-08-24,479.67,479.67,1409745
2021-08-23,478.33,478.33,1113141
2021-08-20,486.71,486.71,1106956
2021-08-19,470.36,470.36,2239366
2021-08-18,510.61,510.61,490346
2021-08-17,522.89,522.89,366466
2021-08-16,524.84,524.84,506638
2021-08-13,517.32,517.32,398582
2021-08-12,510.61,510.61,348387
2021-08-11,502.77,502.77,452994
2021-08-10,506.38,506.38,546333
2021-08-09,506.15,506.15,487342
2021-08-06,497.24,497.24,831792
2021-08-05,515.68,515.68,665662
2021-08-04,504.6,504.6,898147
2021-08-03,498.42,498.42,598740
2021-08-02,492.99,492.99,424957
2021-07-30,495.75,495.75,497859
2021-07-29,491.63,491.63,485670
2021-07-28,492.22,492.22,390880
2021-07-27,486.25,486.25,523882
2021-07-26,491.51,491.51,357792
2021-07-23,495.51,495.51,410325
2021-07-22,486.52,486.52,371925
2021-07-21,480.85,480.85,552772
2021-07-20,487.25,487.25,847161
2021-07-19,469.74,469.74,691998
2021-07-16,465.46,465.46,436115
2021-07-15,462.49,462.49,533811
2021-07-14,460.92,460.92,609817
2021-07-13,483.52,483.52,527910
2021-07-12,484.1,484.1,516749
2021-07-09,476.8,476.8,629960
2021-07-08,472.86,472.86,448349
2021-07-07,473.45,473.45,666595
2021-07-06,474.85,474.85,576106
2021-07-02,474.73,474.73,535687
2021-07-01,470.66,470.66,687387
2021-06-30,473.21,473.21,541545
2021-06-29,479.18,479.18,458436
2021-06-28,481.5,481.5,601405
2021-06-25,474.66,474.66,593602
2021-06-24,468.07,468.07,454679
2021-06-23,469.13,469.13,534826
2021-06-22,465.69,465.69,470462
2021-06-21,461.05,461.05,424438
2021-06-18,456.16,456.16,1084834
2021-06-17,455.35,455.35,531457
2021-06-16,445.41,445.41,692841
2021-06-15,451.81,451.81,396709
2021-06-14,452.14,452.14,603858
2021-06-11,453.17,453.17,638764
2021-06-10,450.67,450.67,771608
2021-06-09,433.94,433.94,637599
2021-06-08,433.87,433.87,642098
2021-06-07,430.34,430.34,892654
2021-06-04,418.12,418.12,695335
2021-06-03,404.58,404.58,664099
2021-06-02,412.96,412.96,618699
2021-06-01,407.45,407.45,812295
2021-05-28,405.64,405.64,919260
2021-05-27,408.99,408.99,2396506
2021-05-26,397.7,397.7,610391
2021-05-25,397.09,397.09,652794
2021-05-24,399.99,399.99,616977
2021-05-21,398.62,398.62,883117
2021-05-20,396.48,396.48,1210057
2021-05-19,386.72,386.72,824762
2021-05-18,386.36,386.36,801893
2021-05-17,379.48,379.48,754724
2021-05-14,381.03,381.03,714205
2021-05-13,373.45,373.45,688914
2021-05-12,372.84,372.84,817753
2021-05-11,381.51,381.51,651006
2021-05-10,380.46,380.46,773102
2021-05-07,383.94,383.94,703789
2021-05-06,377.09,377.09,702595
2021-05-05,378.35,378.35,678405
2021-05-04,378.37,378.37,963739
2021-05-03,386.4,386.4,962242
2021-04-30,392.84,392.84,947224
2021-04-29,399.93,399.93,733402
2021-04-28,405.54,405.54,859700
2021-04-27,413.55,413.55,903462
2021-04-26,420.76,420.76,854370
2021-04-23,414.97,414.97,798277
2021-04-22,408.42,408.42,678885
2021-04-21,403.33,403.33,554637
2021-04-20,398.39,398.39,571104
2021-04-19,404.18,404.18,906453
2021-04-16,399.0,399.0,1177068
2021-04-15,401.96,401.96,980039
2021-04-14,398.07,398.07,655574
2021-04-13,403.15,403.15,702043
2021-04-12,398.99,398.99,646311
2021-04-09,403.37,403.37,662140
2021-04-08,403.74,403.74,749852
2021-04-07,400.55,400.55,1000435
2021-04-06,414.84,414.84,3178305
2021-04-05,384.54,384.54,1008107
2021-04-01,385.04,385.04,1361176
2021-03-31,384.06,384.06,2494758
2021-03-30,368.96,368.96,4516211
2021-03-29,395.0,395.0,1373735
2021-03-26,401.46,401.46,1161346
2021-03-25,398.13,398.13,1275027
2021-03-24,406.8,406.8,652798
2021-03-23,416.43,416.43,711553
2021-03-22,429.92,429.92,1138963
2021-03-19,415.9,415.9,1225522
2021-03-18,409.19,409.19,950660
2021-03-17,420.12,420.12,887389
2021-03-16,419.53,419.53,1086788
2021-03-15,420.32,420.32,943490
2021-03-12,405.12,405.12,687901
2021-03-11,412.89,412.89,669820
2021-03-10,399.45,399.45,709406
2021-03-09,400.86,400.86,965610
2021-03-08,383.62,383.62,908758
2021-03-05,398.85,398.85,1181765
2021-03-04,399.61,399.61,1268038
2021-03-03,416.41,416.41,1130830
2021-03-02,441.01,441.01,753114
2021-03-01,446.5,446.5,865465
2021-02-26,439.41,439.41,1448213
2021-02-25,445.86,445.86,1291610
2021-02-24,461.05,461.05,1135743
2021-02-23,464.54,464.54,1317198
2021-02-22,470.56,470.56,993370
2021-02-19,486.26,486.26,936028
2021-02-18,485.79,485.79,926109
2021-02-17,494.24,494.24,840513
