,c,v
2024-03-28,190.9600,3742169
2024-03-27,190.8000,3693305
2024-03-26,188.5000,4229535
2024-03-25,188.7900,3718289
2024-03-22,190.8400,3988398
2024-03-21,191.9000,6013561
2024-03-20,193.9600,3238643
2024-03-19,193.3400,5317341
2024-03-18,191.6900,5410562
2024-03-15,191.0700,8828184
2024-03-14,193.4300,4102202
2024-03-13,196.7000,3960737
2024-03-12,197.7800,5862512
2024-03-11,191.7300,4712688
2024-03-08,195.9500,3943113
2024-03-07,196.5400,4604458
2024-03-06,196.1600,6945818
2024-03-05,191.9500,5653641
2024-03-04,193.0600,7938266
2024-03-01,188.2000,4018354
2024-02-29,185.0300,6458487
2024-02-28,185.3000,3216345
2024-02-27,184.8700,3641378
2024-02-26,184.1300,4620815
2024-02-23,185.7200,3433800
2024-02-22,184.2100,5078398
2024-02-21,179.7000,4728473
2024-02-20,183.4400,4247181
2024-02-16,187.6400,4842840
2024-02-15,186.8700,4714301
2024-02-14,183.5700,3173391
2024-02-13,183.7000,4290453
2024-02-12,186.1600,4724021
2024-02-09,186.3400,5064641
2024-02-08,184.3600,5161185
2024-02-07,183.7400,4841188
2024-02-06,183.4100,3338196
2024-02-05,183.4200,4379602
2024-02-02,185.7900,4055411
2024-02-01,186.9000,4669444
2024-01-31,183.6600,8876055
2024-01-30,187.8700,4575058
2024-01-29,187.1400,6107908
2024-01-26,187.4200,9895941
2024-01-25,190.4300,29596239
2024-01-24,173.9300,7831157
2024-01-23,173.9400,3983461
2024-01-22,172.8300,4925964
2024-01-19,171.4800,6929079
2024-01-18,166.8400,3776990
2024-01-17,166.0800,4288604
2024-01-16,166.9600,4869635
2024-01-12,165.8000,4958261
2024-01-11,162.1600,3778395
2024-01-10,161.2300,2967852
2024-01-09,160.0800,2617186
2024-01-08,161.1400,3321698
2024-01-05,159.1600,3698961
2024-01-04,160.8600,3212004
2024-01-03,160.1000,4086065
2024-01-02,161.5000,3825044
2023-12-29,163.5500,2526169
2023-12-28,163.7500,2071313
2023-12-27,163.4600,3006612
2023-12-26,163.2100,1772443
